term_code,module_code,class_name,course_title,section_code,instruction_type_name,capacity,enrolled,seats_available,waitlist_capacity,waitlist_enrolled,waitlist_available,status,is_cancelled,instructors_text
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,006-000-TU,tu,8,0,8,,,,AC,false,Suzanne Brenner
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,007-000-TU,tu,8,0,8,,,,AC,false,Zachary Dunseth
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,008-000-TU,tu,8,0,8,,,,AC,false,Thomas Csordas
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,009-000-TU,tu,8,0,8,,,,AC,false,Keolu Fox
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,010-000-TU,tu,8,0,8,,,,AC,false,Pascal Gagneux
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,011-000-TU,tu,8,0,8,,,,AC,false,Paul Goldstein
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,012-000-TU,tu,8,0,8,,,,AC,false,Joseph Hankins
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,013-000-TU,tu,8,0,8,,,,AC,false,Aftab Jassal
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,014-000-TU,tu,8,0,8,,,,AC,false,Janis Jenkins
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,015-000-TU,tu,8,0,8,,,,AC,false,Nayeli Jiménez Cano
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,016-000-TU,tu,8,0,8,,,,AC,false,Bonnie Kaiser
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,017-000-TU,tu,8,0,8,,,,AC,false,Dredge Kang
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,018-000-TU,tu,8,0,8,,,,AC,false,Thomas Levy
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,019-000-TU,tu,8,0,8,,,,AC,false,Amy Non
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,020-000-TU,tu,8,0,8,,,,AC,false,Steven Parish
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,021-000-TU,tu,8,0,8,,,,AC,false,David Pedersen
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,022-000-TU,tu,8,0,8,,,,AC,false,Nancy Postero
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,023-000-TU,tu,8,0,8,,,,AC,false,Ekaterini Semendeferi
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,024-000-TU,tu,8,0,8,,,,AC,false,Rihan Yeh
FA26,ANTH-299,ANTH 299,Dissertation Research,001-000-IN,in,8,0,8,,,,AC,false,Guillermo Algaze
FA26,ANTH-299,ANTH 299,Dissertation Research,002-000-IN,in,8,0,8,,,,AC,false,Geoffrey Braswell
FA26,ANTH-299,ANTH 299,Dissertation Research,003-000-IN,in,8,0,8,,,,AC,false,Suzanne Brenner
FA26,ANTH-299,ANTH 299,Dissertation Research,004-000-IN,in,8,0,8,,,,AC,false,Thomas Csordas
